|6.6.6
mars_kc08_atm_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  7401.00        617.411        60.0639                 NaN   9.12065                 NaN            NaN            NaN   3.76181                 NaN   27.0536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        621.175        60.0633                 NaN   9.12096                 NaN            NaN            NaN   3.76047                 NaN   27.0553                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        624.929        60.0764                 NaN   9.12156                 NaN            NaN            NaN   3.77170                 NaN   27.0303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        628.673        60.0746                 NaN   9.12184                 NaN            NaN            NaN   3.76937                 NaN   27.0342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        632.407        60.0728                 NaN   9.12213                 NaN            NaN            NaN   3.76701                 NaN   27.0381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        636.130        60.0716                 NaN   9.12247                 NaN            NaN            NaN   3.76524                 NaN   27.0407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        639.844        60.0701                 NaN   9.12277                 NaN            NaN            NaN   3.76312                 NaN   27.0440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        643.548        60.0716                 NaN   9.12274                 NaN            NaN            NaN   3.76419                 NaN   27.0415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        647.241        60.0721                 NaN   9.12278                 NaN            NaN            NaN   3.76420                 NaN   27.0409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        650.925        60.0609                 NaN   9.12371                 NaN            NaN            NaN   3.75263                 NaN   27.0627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        654.598        60.0614                 NaN   9.12374                 NaN            NaN            NaN   3.75264                 NaN   27.0622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        658.262        57.2305                 NaN   8.17887        7.93609                 NaN            NaN  0.722396                 NaN   25.9322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        661.916        57.2309                 NaN   8.17890        7.93617                 NaN            NaN  0.722397                 NaN   25.9317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        665.560        56.5572                 NaN   7.92057        9.81366                 NaN            NaN            NaN            NaN   25.7086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        669.194        56.5576                 NaN   7.92060        9.81375                 NaN            NaN            NaN            NaN   25.7081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        672.818        56.5581                 NaN   7.90935        9.80817                 NaN            NaN            NaN            NaN   25.7243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        676.432        56.5588                 NaN   7.89817        9.80471                 NaN            NaN            NaN            NaN   25.7383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        680.037        56.5593                 NaN   7.88950        9.79947                 NaN            NaN            NaN            NaN   25.7518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        683.631        56.5601                 NaN   7.87623        9.79561                 NaN            NaN            NaN            NaN   25.7681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        687.216        56.5607                 NaN   7.86566        9.79053                 NaN            NaN            NaN            NaN   25.7831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        690.792        56.5612                 NaN   7.85551        9.78449                 NaN            NaN            NaN            NaN   25.7988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        694.357        56.5618                 NaN   7.84535        9.78058                 NaN            NaN            NaN            NaN   25.8123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        697.913        56.5624                 NaN   7.83423        9.77504                 NaN            NaN            NaN            NaN   25.8283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        701.458        56.5630                 NaN   7.82400        9.76953                 NaN            NaN            NaN            NaN   25.8435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        704.995        56.5635                 NaN   7.81388        9.76385                 NaN            NaN            NaN            NaN   25.8588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        708.521        56.5640                 NaN   7.80391        9.75790                 NaN            NaN            NaN            NaN   25.8742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        712.038        56.5646                 NaN   7.79411        9.75382                 NaN            NaN            NaN            NaN   25.8875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        715.546        56.5650                 NaN   7.78460        9.74931                 NaN            NaN            NaN            NaN   25.9011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        719.043        56.5656                 NaN   7.77480        9.74508                 NaN            NaN            NaN            NaN   25.9145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        722.531        56.5659                 NaN   7.76614        9.73191                 NaN            NaN            NaN            NaN   25.9361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        726.010        56.5656                 NaN   7.75620        9.70997                 NaN            NaN            NaN            NaN   25.9682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        729.479        56.5659                 NaN   7.74753        9.69804                 NaN            NaN            NaN            NaN   25.9885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        732.938        56.5663                 NaN   7.73851        9.68954                 NaN            NaN            NaN            NaN   26.0057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        736.388        56.5672                 NaN   7.72953        9.69473                 NaN            NaN            NaN            NaN   26.0085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        739.829        56.5677                 NaN   7.72071        9.68929                 NaN            NaN            NaN            NaN   26.0223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        743.260        56.5687                 NaN   7.71093        9.69632                 NaN            NaN            NaN            NaN   26.0241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        746.681        56.5692                 NaN   7.70219        9.69075                 NaN            NaN            NaN            NaN   26.0379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11101.0        750.093        56.5686                 NaN   7.69680        9.66168                 NaN            NaN            NaN            NaN   26.0729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11201.0        753.496        56.5689                 NaN   7.68912        9.65143                 NaN            NaN            NaN            NaN   26.0905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11301.0        756.889        56.5692                 NaN   7.68146        9.64122                 NaN            NaN            NaN            NaN   26.1082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11401.0        760.273        56.5694                 NaN   7.67384        9.63104                 NaN            NaN            NaN            NaN   26.1257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11501.0        763.648        56.5697                 NaN   7.66624        9.62089                 NaN            NaN            NaN            NaN   26.1432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11601.0        767.013        56.5726                 NaN   7.65264        9.67442                 NaN            NaN            NaN            NaN   26.1003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11701.0        770.369        56.5730                 NaN   7.64479        9.66754                 NaN            NaN            NaN            NaN   26.1146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11801.0        773.715        56.5734                 NaN   7.63697        9.66070                 NaN            NaN            NaN            NaN   26.1289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11901.0        777.052        56.5738                 NaN   7.62921        9.65379                 NaN            NaN            NaN            NaN   26.1432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12001.0        780.380        56.5741                 NaN   7.62257        9.64446                 NaN            NaN            NaN            NaN   26.1589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12101.0        783.699        56.5744                 NaN   7.61594        9.63517                 NaN            NaN            NaN            NaN   26.1745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12201.0        787.009        56.5744                 NaN   7.61112        9.62165                 NaN            NaN            NaN            NaN   26.1928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12301.0        790.309        56.5754                 NaN   7.60142        9.63089                 NaN            NaN            NaN            NaN   26.1923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12401.0        793.600        56.5758                 NaN   7.59454        9.62520                 NaN            NaN            NaN            NaN   26.2045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12501.0        796.882        56.5762                 NaN   7.58768        9.61955                 NaN            NaN            NaN            NaN   26.2166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12601.0        800.155        56.5766                 NaN   7.58085        9.61392                 NaN            NaN            NaN            NaN   26.2287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12701.0        803.419        56.5770                 NaN   7.57404        9.60832                 NaN            NaN            NaN            NaN   26.2407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12801.0        806.673        56.5774                 NaN   7.56726        9.60276                 NaN            NaN            NaN            NaN   26.2526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12901.0        809.919        56.5775                 NaN   7.56040        9.59919                 NaN            NaN            NaN            NaN   26.2629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
