|6.6.6
mars1_1.tab                                                                                         
           1
P(bar)  
   234999.00000000000     
   234999.00000000000     
  173529599
           3
P(bar)         T(K)           rho,kg/m3     
  13185.8        1343.75        3471.41     
  13209.3        1343.88        3471.47     
  13232.8        1344.02        3471.53     
  13256.3        1344.15        3471.58     
  13279.8        1344.29        3471.64     
  13303.3        1344.42        3471.69     
  13326.8        1344.56        3471.75     
  13350.3        1344.69        3471.81     
  13373.8        1344.83        3471.86     
  13397.3        1344.96        3471.92     
  13420.8        1345.10        3471.97     
  13444.3        1345.23        3472.03     
  13467.8        1345.37        3472.08     
  13491.3        1345.50        3472.14     
  13514.8        1345.64        3472.20     
  13538.3        1345.77        3472.25     
  13561.8        1345.91        3472.31     
  13585.3        1346.04        3472.36     
  13608.8        1346.18        3472.42     
  13632.3        1346.31        3472.47     
  13655.8        1346.45        3472.53     
  13679.3        1346.58        3472.59     
  13702.8        1346.72        3472.64     
  13726.3        1346.86        3472.70     
  13749.8        1346.99        3472.75     
  13773.3        1347.13        3472.81     
  13796.8        1347.26        3472.86     
  13820.3        1347.40        3472.92     
  13843.8        1347.53        3472.98     
  13867.3        1347.67        3473.03     
  13890.8        1347.81        3473.09     
  13914.3        1347.94        3473.14     
  13937.8        1348.08        3473.07     
  13961.3        1348.21        3473.13     
  13984.8        1348.35        3473.18     
  14008.3        1348.49        3473.24     
  14031.8        1348.62        3473.29     
  14055.3        1348.76        3473.35     
  14078.8        1348.89        3473.41     
  14102.4        1349.03        3473.46     
  14125.9        1349.17        3473.52     
  14149.4        1349.30        3473.57     
  14172.9        1349.44        3473.63     
  14196.4        1349.57        3473.68     
  14219.9        1349.71        3473.74     
  14243.4        1349.85        3473.80     
  14266.9        1349.98        3473.85     
  14290.4        1350.12        3473.91     
  14313.9        1350.26        3473.96     
  14337.4        1350.39        3474.02     
  14360.9        1350.53        3474.07     
  14384.4        1350.67        3474.13     
  14407.9        1350.80        3474.18     
  14431.4        1350.94        3474.24     
  14454.9        1351.08        3474.29     
  14478.4        1351.21        3474.35     
  14501.9        1351.35        3474.41     
  14525.4        1351.49        3474.46     
  14548.9        1351.62        3474.52     
  14572.4        1351.76        3474.57     
  14595.9        1351.90        3474.63     
  14619.4        1352.03        3474.68     
  14642.9        1352.17        3474.74     
  14666.4        1352.31        3474.79     
  14689.9        1352.44        3472.57     
  14713.4        1352.58        3472.62     
  14736.9        1352.72        3472.68     
  14760.4        1352.85        3472.73     
  14783.9        1352.99        3472.79     
  14807.4        1353.13        3472.84     
  14830.9        1353.27        3472.90     
  14854.4        1353.40        3472.96     
  14877.9        1353.54        3473.01     
  14901.4        1353.68        3473.07     
  14924.9        1353.82        3473.12     
  14948.4        1353.95        3473.18     
