|6.6.6
mars_bf97_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  6401.00        483.668        18.7242        18.7242        96.5051                 NaN   29.4395        32.3873                 NaN            NaN   18.7242        18.7242        18.7242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        486.618        18.7238        18.7238        96.5051                 NaN   29.4391        32.3869                 NaN            NaN   18.7238        18.7238        18.7238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        489.563        18.7215        18.7215        96.5049                 NaN   21.6693        32.3846                 NaN            NaN   18.7215        18.7215        18.7215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        492.503        18.7212        18.7212        96.5049                 NaN   21.6689        32.3842                 NaN            NaN   18.7212        18.7212        18.7212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        495.437        18.7208        18.7208        96.5049                 NaN   21.6685        32.3839                 NaN            NaN   18.7208        18.7208        18.7208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        498.367        18.7204        18.7204        96.5049                 NaN   21.6682        32.3835                 NaN            NaN   18.7204        18.7204        18.7204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        501.290        18.7201        18.7201        96.5049                 NaN   21.6678        32.3831                 NaN            NaN   18.7201        18.7201        18.7201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        504.209        18.7190        18.7190        96.5063                 NaN   29.5931        32.3852                 NaN            NaN   18.7190        18.7190        18.7190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        507.122        18.7186        18.7186        96.5063                 NaN   29.5927        32.3848                 NaN            NaN   18.7186        18.7186        18.7186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        510.031        18.7182        18.7182        96.5063                 NaN   29.5924        32.3844                 NaN            NaN   18.7182        18.7182        18.7182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        512.933        18.7179        18.7179        96.5063                 NaN   29.5920        32.3841                 NaN            NaN   18.7179        18.7179        18.7179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        515.831        18.7175        18.7175        96.5063                 NaN   29.5917        32.3837                 NaN            NaN   18.7175        18.7175        18.7175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        518.724        18.7172        18.7172        96.5063                 NaN   29.5913        32.3834                 NaN            NaN   18.7172        18.7172        18.7172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        521.611        18.7179        18.7179        96.5070                 NaN   29.6388        32.3850                 NaN            NaN   18.7179        18.7179        18.7179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        524.493        18.7175        18.7175        96.5070                 NaN   29.6385        32.3847                 NaN            NaN   18.7175        18.7175        18.7175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        527.370        18.7163        18.7163        96.5074                 NaN   21.4132        32.3844                 NaN            NaN   18.7163        18.7163        18.7163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        530.241        18.7160        18.7160        96.5074                 NaN   21.4129        32.3840                 NaN            NaN   18.7160        18.7160        18.7160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        533.108        18.7156        18.7156        96.5074                 NaN   21.4125        32.3837                 NaN            NaN   18.7156        18.7156        18.7156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        535.969        18.7168        18.7168        96.5084                 NaN   21.3610        32.3859                 NaN            NaN   18.7168        18.7168        18.7168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        538.825        18.7165        18.7165        96.5084                 NaN   21.3606        32.3855                 NaN            NaN   18.7165        18.7165        18.7165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        541.676        18.7161        18.7161        96.5083                 NaN   21.3603        32.3852                 NaN            NaN   18.7161        18.7161        18.7161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        544.521        18.7139        18.7139        96.5087                 NaN   21.3009        32.3840                 NaN            NaN   18.7139        18.7139        18.7139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        547.362        18.7136        18.7136        96.5086                 NaN   21.3005        32.3836                 NaN            NaN   18.7136        18.7136        18.7136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        550.197        19.0081        19.0081        96.6513                 NaN   21.5376        32.6595       0.371125                 NaN   19.0081        19.0081        19.0081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        553.028        19.0078        19.0078        96.6513                 NaN   21.5372        32.6591       0.371130                 NaN   19.0078        19.0078        19.0078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
