|6.6.6
mars1_2.tab                                                                                         
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           3
P(bar)         T(K)           rho,kg/m3     
  4361.00        1296.06        3326.80     
  4371.00        1296.11        3326.86     
  4381.00        1296.16        3326.92     
  4391.00        1296.22        3326.98     
  4401.00        1296.27        3327.04     
  4411.00        1296.32        3327.10     
  4421.00        1296.37        3327.16     
  4431.00        1296.42        3327.22     
  4441.00        1296.47        3327.28     
  4451.00        1296.52        3327.34     
  4461.00        1296.57        3327.40     
  4471.00        1296.62        3327.46     
  4481.00        1296.67        3327.52     
  4491.00        1296.72        3327.58     
  4501.00        1296.77        3327.64     
  4511.00        1296.82        3327.70     
  4521.00        1296.87        3327.76     
  4531.00        1296.92        3327.82     
  4541.00        1296.97        3327.88     
  4551.00        1297.02        3327.94     
  4561.00        1297.07        3328.00     
  4571.00        1297.12        3328.06     
  4581.00        1297.18        3328.12     
  4591.00        1297.23        3328.18     
  4601.00        1297.28        3328.25     
  4611.00        1297.33        3328.31     
  4621.00        1297.38        3328.37     
  4631.00        1297.43        3328.43     
  4641.00        1297.48        3328.49     
  4651.00        1297.53        3328.55     
  4661.00        1297.58        3328.61     
  4671.00        1297.63        3328.67     
  4681.00        1297.68        3328.73     
  4691.00        1297.73        3328.79     
  4701.00        1297.78        3328.85     
  4711.00        1297.83        3328.91     
  4721.00        1297.88        3328.97     
  4731.00        1297.94        3329.03     
  4741.00        1297.99        3329.09     
  4751.00        1298.04        3329.15     
  4761.00        1298.09        3329.21     
  4771.00        1298.14        3329.27     
  4781.00        1298.19        3329.33     
  4791.00        1298.24        3329.39     
  4801.00        1298.29        3329.45     
  4811.00        1298.34        3329.51     
  4821.00        1298.39        3329.57     
  4831.00        1298.44        3329.63     
  4841.00        1298.49        3329.69     
  4851.00        1298.54        3329.75     
  4861.00        1298.60        3329.81     
  4871.00        1298.65        3329.87     
  4881.00        1298.70        3329.93     
  4891.00        1298.75        3329.99     
  4901.00        1298.80        3330.05     
  4911.00        1298.85        3330.11     
  4921.00        1298.90        3330.17     
  4931.00        1298.95        3330.23     
  4941.00        1299.00        3330.29     
  4951.00        1299.05        3330.35     
  4961.00        1299.10        3330.41     
  4971.00        1299.16        3330.47     
  4981.00        1299.21        3330.53     
  4991.00        1299.26        3330.59     
  5001.00        1299.31        3330.65     
  5011.00        1299.36        3330.71     
  5021.00        1299.41        3330.77     
  5031.00        1299.46        3330.83     
  5041.00        1299.51        3330.89     
  5051.00        1299.56        3330.95     
  5061.00        1299.61        3331.01     
  5071.00        1299.67        3331.07     
  5081.00        1299.72        3331.13     
  5091.00        1299.77        3331.19     
  5101.00        1299.82        3331.25     
  5111.00        1299.87        3331.31     
  5121.00        1299.92        3331.37     
  5131.00        1299.97        3331.43     
  5141.00        1300.02        3331.49     
  5151.00        1300.07        3331.55     
  5161.00        1300.13        3331.61     
  5171.00        1300.18        3331.67     
  5181.00        1300.23        3331.73     
  5191.00        1300.28        3331.79     
  5201.00        1300.33        3331.85     
  5211.00        1300.38        3331.91     
  5221.00        1300.43        3331.97     
  5231.00        1300.48        3332.03     
  5241.00        1300.53        3332.09     
  5251.00        1300.59        3332.15     
  5261.00        1300.64        3332.21     
  5271.00        1300.69        3332.27     
  5281.00        1300.74        3332.33     
  5291.00        1300.79        3332.39     
  5301.00        1300.84        3332.44     
  5311.00        1300.89        3332.50     
  5321.00        1300.94        3332.56     
  5331.00        1301.00        3332.62     
  5341.00        1301.05        3332.68     
  5351.00        1301.10        3332.74     
  5361.00        1301.15        3332.80     
  5371.00        1301.20        3332.86     
  5381.00        1301.25        3332.92     
  5391.00        1301.30        3332.98     
  5401.00        1301.35        3333.04     
  5411.00        1301.41        3333.10     
  5421.00        1301.46        3333.16     
  5431.00        1301.51        3333.22     
  5441.00        1301.56        3333.28     
  5451.00        1301.61        3333.34     
  5461.00        1301.66        3333.40     
  5471.00        1301.71        3333.46     
  5481.00        1301.77        3333.52     
  5491.00        1301.82        3333.58     
  5501.00        1301.87        3333.64     
  5511.00        1301.92        3333.70     
  5521.00        1301.97        3333.76     
  5531.00        1302.02        3333.82     
  5541.00        1302.07        3333.88     
  5551.00        1302.13        3333.94     
  5561.00        1302.18        3334.00     
  5571.00        1302.23        3334.06     
  5581.00        1302.28        3334.12     
  5591.00        1302.33        3334.18     
  5601.00        1302.38        3334.24     
  5611.00        1302.43        3334.30     
  5621.00        1302.49        3334.36     
  5631.00        1302.54        3334.42     
  5641.00        1302.59        3334.48     
  5651.00        1302.64        3334.54     
  5661.00        1302.69        3334.60     
  5671.00        1302.74        3334.66     
  5681.00        1302.79        3334.72     
  5691.00        1302.85        3334.78     
  5701.00        1302.90        3334.84     
  5711.00        1302.95        3334.90     
  5721.00        1303.00        3334.96     
  5731.00        1303.05        3335.02     
  5741.00        1303.10        3335.08     
  5751.00        1303.16        3335.14     
  5761.00        1303.21        3335.20     
  5771.00        1303.26        3335.26     
  5781.00        1303.31        3335.32     
  5791.00        1303.36        3335.38     
  5801.00        1303.41        3335.44     
  5811.00        1303.47        3335.50     
  5821.00        1303.52        3335.56     
  5831.00        1303.57        3335.62     
  5841.00        1303.62        3335.68     
  5851.00        1303.67        3335.74     
  5861.00        1303.72        3335.80     
  5871.00        1303.78        3335.86     
  5881.00        1303.83        3335.92     
  5891.00        1303.88        3335.98     
  5901.00        1303.93        3336.04     
  5911.00        1303.98        3336.10     
  5921.00        1304.04        3336.16     
  5931.00        1304.09        3336.22     
  5941.00        1304.14        3336.28     
  5951.00        1304.19        3336.34     
  5961.00        1304.24        3336.39     
  5971.00        1304.29        3336.45     
  5981.00        1304.35        3336.51     
  5991.00        1304.40        3336.57     
  6001.00        1304.45        3336.63     
  6011.00        1304.50        3336.69     
  6021.00        1304.55        3336.75     
  6031.00        1304.61        3336.81     
  6041.00        1304.66        3336.87     
  6051.00        1304.71        3336.93     
  6061.00        1304.76        3336.99     
  6071.00        1304.81        3337.05     
  6081.00        1304.86        3337.11     
  6091.00        1304.92        3337.17     
  6101.00        1304.97        3337.23     
  6111.00        1305.02        3337.29     
  6121.00        1305.07        3337.35     
  6131.00        1305.12        3337.41     
  6141.00        1305.18        3337.47     
  6151.00        1305.23        3337.53     
  6161.00        1305.28        3337.59     
  6171.00        1305.33        3337.65     
  6181.00        1305.38        3337.71     
  6191.00        1305.44        3337.77     
  6201.00        1305.49        3337.83     
  6211.00        1305.54        3337.89     
  6221.00        1305.59        3337.95     
  6231.00        1305.64        3338.01     
  6241.00        1305.70        3338.07     
  6251.00        1305.75        3338.13     
  6261.00        1305.80        3338.19     
  6271.00        1305.85        3338.25     
  6281.00        1305.90        3338.31     
  6291.00        1305.96        3338.37     
  6301.00        1306.01        3338.43     
  6311.00        1306.06        3338.49     
  6321.00        1306.11        3338.55     
  6331.00        1306.17        3338.60     
  6341.00        1306.22        3338.66     
  6351.00        1306.27        3338.72     
  6361.00        1306.32        3338.78     
  6371.00        1306.37        3338.84     
  6381.00        1306.43        3338.90     
  6391.00        1306.48        3338.96     
  6401.00        1306.53        3339.02     
  6411.00        1306.58        3337.75     
  6421.00        1306.63        3337.84     
  6431.00        1306.69        3337.94     
  6441.00        1306.74        3338.04     
  6451.00        1306.79        3338.13     
  6461.00        1306.84        3338.23     
  6471.00        1306.90        3338.32     
  6481.00        1306.95        3338.42     
  6491.00        1307.00        3338.51     
  6501.00        1307.05        3338.61     
  6511.00        1307.11        3338.71     
  6521.00        1307.16        3338.80     
  6531.00        1307.21        3338.90     
  6541.00        1307.26        3338.99     
  6551.00        1307.31        3339.09     
  6561.00        1307.37        3339.19     
  6571.00        1307.42        3339.28     
  6581.00        1307.47        3339.38     
  6591.00        1307.52        3339.47     
