|6.6.6
mars_lf97_atl_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  7101.00        504.209                 NaN            NaN   52.8056                 NaN   9.98386        6.55256                 NaN            NaN            NaN   1.94741        28.7105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        507.122                 NaN            NaN   52.8061                 NaN   9.98390        6.55257                 NaN            NaN            NaN   1.94743        28.7100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        510.031                 NaN            NaN   52.8065                 NaN   9.98393        6.55258                 NaN            NaN            NaN   1.94744        28.7096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        512.933                 NaN            NaN   52.8069                 NaN   9.98396        6.55259                 NaN            NaN            NaN   1.94745        28.7091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        515.831                 NaN            NaN   52.8073                 NaN   9.98399        6.55260                 NaN            NaN            NaN   1.94747        28.7086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        518.724                 NaN            NaN   52.8077                 NaN   9.98403        6.55261                 NaN            NaN            NaN   1.94748        28.7081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        521.611                 NaN            NaN   52.8064                 NaN   9.99866        6.53882                 NaN            NaN            NaN   1.94626        28.7098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        524.493                 NaN            NaN   52.8069                 NaN   9.99869        6.53883                 NaN            NaN            NaN   1.94627        28.7093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        527.370                 NaN            NaN   52.8076                 NaN   10.0148        6.52365                 NaN            NaN            NaN   1.94551        28.7085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        530.241                 NaN            NaN   52.8080                 NaN   10.0148        6.52366                 NaN            NaN            NaN   1.94552        28.7080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        533.108                 NaN            NaN   52.8085                 NaN   10.0148        6.52367                 NaN            NaN            NaN   1.94553        28.7075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        535.969                 NaN            NaN   52.8065                 NaN   6.50790        10.0315                 NaN            NaN            NaN   1.94386        28.7102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        538.825                 NaN            NaN   52.8070                 NaN   6.50791        10.0315                 NaN            NaN            NaN   1.94387        28.7097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
