|6.6.6
mars_t13_atm_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  6901.00        598.438        24.1291                 NaN   96.7329                 NaN   36.0155                 NaN            NaN            NaN   24.1291        21.0317        21.0317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        602.253        24.1035                 NaN   96.7324                 NaN   36.0386                 NaN            NaN            NaN   24.1035        21.0821        21.0821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        606.058        24.3700                 NaN   96.7380                 NaN   35.7742                 NaN            NaN            NaN   24.3700        20.5135        20.5135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        609.853        24.3198                 NaN   96.7306                 NaN   35.7951                 NaN            NaN            NaN   24.3198        20.5751        20.5751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        613.637        24.3417                 NaN   96.7366                 NaN   35.7943                 NaN            NaN            NaN   24.3417        20.5602        20.5602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        617.411        24.3410                 NaN   96.7366                 NaN   35.7937                 NaN            NaN            NaN   24.3410        20.5598        20.5598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        621.175        24.3641                 NaN   96.7432                 NaN   35.7943                 NaN            NaN            NaN   24.3641        20.5466        20.5466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        624.929        24.3634                 NaN   96.7432                 NaN   35.7937                 NaN            NaN            NaN   24.3634        20.5462        20.5462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        628.673        24.0699                 NaN   96.7309                 NaN   36.0540                 NaN            NaN            NaN   24.0699        21.1212        21.1212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        632.407        24.0181                 NaN   96.7311                 NaN   36.1084                 NaN            NaN            NaN   24.0181        21.2355        21.2355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        636.130        23.9802                 NaN   96.7497                 NaN   36.2250                 NaN  0.548785E-001            NaN   23.9802        21.4447        21.4447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        639.844        23.9796                 NaN   96.7497                 NaN   36.2244                 NaN  0.548792E-001            NaN   23.9796        21.4443        21.4443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        643.548        25.2011                 NaN   97.2953                 NaN   37.2253                 NaN   1.46219                 NaN   25.2011        22.4947        22.4947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        647.241        25.2005                 NaN   97.2953                 NaN   37.2248                 NaN   1.46221                 NaN   25.2005        22.4944        22.4944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        650.925        26.5213                 NaN   97.8850                 NaN   38.3144                 NaN   2.98325                 NaN   26.5213        23.6554        23.6554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        654.598        26.5207                 NaN   97.8850                 NaN   38.3139                 NaN   2.98328                 NaN   26.5207        23.6550        23.6550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        658.262        30.1743        30.1743        100.000                 NaN   41.9518        43.3484        8.60236                 NaN   30.1743        30.1743        30.1743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        661.916        30.1739        30.1739        100.000                 NaN   41.9515        43.3480        8.60244                 NaN   30.1739        30.1739        30.1739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        665.560        30.1820        30.1820        100.000                 NaN   31.3147        43.3474        8.59029                 NaN   30.1820        30.1820        30.1820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        669.194        30.1816        30.1816        100.000                 NaN   31.3143        43.3470        8.59037                 NaN   30.1816        30.1816        30.1816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        672.818        30.1813        30.1813        100.000                 NaN   31.3140        43.3467        8.59045                 NaN   30.1813        30.1813        30.1813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
