|6.6.6
mars_ma79_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  7801.00        524.493                 NaN   89.0376        22.1743                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        527.370                 NaN   89.0385        22.1754                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        530.241                 NaN   89.0390        22.1761                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        533.108                 NaN   89.0325        22.1677                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        535.969                 NaN   89.0383        22.1747                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        538.825                 NaN   89.0388        22.1753                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        541.676                 NaN   89.0347        22.1705                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        544.521                 NaN   89.0326        22.1680                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        547.362                 NaN   89.0332        22.1688                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        550.197                 NaN   89.0345        22.1704                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        553.028                 NaN   89.0348        22.1708                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        555.853                 NaN   89.0344        22.1703                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        558.673                 NaN   89.0359        22.1725                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        561.487                 NaN   89.0359        22.1724                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        564.297                 NaN   89.0359        22.1723                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        567.102                 NaN   92.7619        28.1903                 NaN   6.42050                 NaN            NaN   6.42050        6.42050        6.42050        6.42050        6.42050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        569.901                 NaN   92.0568        27.0426                 NaN   5.17595                 NaN            NaN   5.17595        5.17595        5.17595        5.17595        5.17595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        572.696                 NaN   92.3392        27.5080                 NaN   5.69254                 NaN            NaN   5.69254        5.69254        5.69254        5.69254        5.69254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        575.485                 NaN   93.0952        28.7382                 NaN   7.02352                 NaN            NaN   7.02352        7.02352        7.02352        7.02352        7.02352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        578.269                 NaN   93.1491        28.8271                 NaN   7.12224                 NaN            NaN   7.12224        7.12224        7.12224        7.12224        7.12224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        581.048                 NaN   93.4575        29.4110                 NaN   7.89839                 NaN            NaN   7.89839        7.89839        7.89839        7.89839        7.89839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        583.822                 NaN   93.5414        29.5734                 NaN   8.12176                 NaN            NaN   8.12176        8.12176        8.12176        8.12176        8.12176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        586.591                 NaN   93.5033        29.4994                 NaN   8.02050                 NaN            NaN   8.02050        8.02050        8.02050        8.02050        8.02050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        589.355       0.130291        94.5587        31.7038                 NaN   10.5674                 NaN            NaN   10.5674        10.5674        10.5674        10.5674        10.5674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        592.114       0.130292        94.5587        31.7038                 NaN   10.5675                 NaN            NaN   10.5675        10.5675        10.5675        10.5675        10.5675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        594.868       0.300355        95.4679        33.6770                 NaN   12.6487                 NaN            NaN   12.6487        12.6487        12.6487        12.6487        12.6487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        597.617       0.492082        96.8990        36.6731                 NaN   16.0583                 NaN            NaN   16.0583        16.0583        16.0583        16.0583        16.0583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        600.360       0.538010        97.2243        37.3598                 NaN   16.8320                 NaN            NaN   16.8320        16.8320        16.8320        16.8320        16.8320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        603.099       0.583944        97.5496        38.0466                 NaN   17.6058                 NaN            NaN   17.6058        17.6058        17.6058        17.6058        17.6058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        605.833       0.632509        97.8626        38.7133                 NaN   18.3422                 NaN            NaN   18.3422        18.3422        18.3422        18.3422        18.3422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        608.561       0.677022        98.1946        39.4112                 NaN   19.1365                 NaN            NaN   19.1365        19.1365        19.1365        19.1365        19.1365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        611.285       0.717723        98.5112        40.0742                 NaN   19.8970                 NaN            NaN   19.8970        19.8970        19.8970        19.8970        19.8970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        614.004       0.722569        98.7027        40.4480                 NaN   20.3935                 NaN            NaN   20.3935        20.3935        20.3935        20.3935        20.3935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11101.0        616.717       0.815888        99.4366        41.9781                 NaN   22.1528                 NaN            NaN   22.1528        22.1528        22.1528        22.1528        22.1528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11201.0        619.426       0.820990        99.6779        42.4475                 NaN   22.7807                 NaN            NaN   22.7807        22.7807        22.7807        22.7807        22.7807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
