|6.6.6
mars_t13_atl_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  8801.00        553.028                 NaN            NaN   59.6228                 NaN   2.84734        10.9740       0.394445                 NaN            NaN   3.17889        22.9825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        555.853                 NaN            NaN   59.6232                 NaN   2.84734        10.9740       0.394451                 NaN            NaN   3.17891        22.9821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        558.673                 NaN            NaN   59.4623                 NaN   2.79073        11.0062       0.840041                 NaN            NaN   3.00736        22.8934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        561.487                 NaN            NaN   59.4627                 NaN   2.79073        11.0062       0.840052                 NaN            NaN   3.00737        22.8930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        564.297                 NaN            NaN   59.4631                 NaN   2.79073        11.0062       0.840064                 NaN            NaN   3.00739        22.8926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        567.102                 NaN            NaN   56.6397                 NaN   10.5217        2.82143        8.70420                 NaN            NaN            NaN   21.3130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        569.901                 NaN            NaN   56.6400                 NaN   10.5217        2.82143        8.70431                 NaN            NaN            NaN   21.3126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        572.696                 NaN            NaN   56.6402                 NaN   10.5217        2.82143        8.70442                 NaN            NaN            NaN   21.3122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        575.485                 NaN            NaN   56.6416                 NaN   2.75807        10.5687        8.70053                 NaN            NaN            NaN   21.3311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        578.269                 NaN            NaN   56.6419                 NaN   2.75807        10.5687        8.70064                 NaN            NaN            NaN   21.3307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        581.048                 NaN            NaN   56.6432                 NaN   10.5969        2.75235        8.70796                 NaN            NaN            NaN   21.2995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        583.822                 NaN            NaN   56.6435                 NaN   10.5970        2.75235        8.70808                 NaN            NaN            NaN   21.2991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        586.591                 NaN            NaN   56.6438                 NaN   10.5970        2.75234        8.70819                 NaN            NaN            NaN   21.2987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        589.355                 NaN            NaN   56.6484                 NaN   2.22748        11.0124        8.66720                 NaN            NaN            NaN   21.4445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        592.114                 NaN            NaN   56.6487                 NaN   2.22748        11.0124        8.66731                 NaN            NaN            NaN   21.4441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        594.868                 NaN            NaN   56.6490                 NaN   2.22747        11.0124        8.66742                 NaN            NaN            NaN   21.4437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        597.617                 NaN            NaN   56.6493                 NaN   2.22747        11.0124        8.66753                 NaN            NaN            NaN   21.4433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        600.360                 NaN            NaN   56.6496                 NaN   2.22747        11.0124        8.66764                 NaN            NaN            NaN   21.4429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        603.099                 NaN            NaN   56.6499                 NaN   2.22747        11.0124        8.66775                 NaN            NaN            NaN   21.4425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        605.833                 NaN            NaN   56.6502                 NaN   2.22747        11.0124        8.66786                 NaN            NaN            NaN   21.4421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        608.561                 NaN            NaN   56.6505                 NaN   2.22747        11.0124        8.66797                 NaN            NaN            NaN   21.4417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        611.285                 NaN            NaN   56.6508                 NaN   2.22747        11.0124        8.66808                 NaN            NaN            NaN   21.4413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        614.004                 NaN            NaN   56.6511                 NaN   2.22747        11.0124        8.66819                 NaN            NaN            NaN   21.4409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11101.0        616.717                 NaN            NaN   56.6514                 NaN   2.22746        11.0124        8.66830                 NaN            NaN            NaN   21.4405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11201.0        619.426                 NaN            NaN   56.6517                 NaN   2.22746        11.0124        8.66841                 NaN            NaN            NaN   21.4401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11301.0        622.130                 NaN            NaN   56.6520                 NaN   2.22746        11.0124        8.66852                 NaN            NaN            NaN   21.4396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
