|6.6.6
mars_kc08_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  11301.0        986.751        56.5295                 NaN   7.31747        8.12953                 NaN            NaN            NaN            NaN   28.0235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11401.0        991.199        56.5394                 NaN   7.25136        8.33803                 NaN            NaN            NaN            NaN   27.8712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11501.0        995.624        56.5387                 NaN   7.24787        8.30879                 NaN            NaN            NaN            NaN   27.9046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11601.0        1000.02        56.5291                 NaN   7.30286        8.07253                 NaN            NaN            NaN            NaN   28.0955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11701.0        1004.40        56.5370                 NaN   7.24844        8.23667                 NaN            NaN            NaN            NaN   27.9779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11801.0        1008.76        56.5373                 NaN   7.24105        8.23012                 NaN            NaN            NaN            NaN   27.9915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11901.0        1013.09        56.5191                 NaN   7.34726        7.80936                 NaN            NaN            NaN            NaN   28.3243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12001.0        1017.39        56.5245                 NaN   7.31346        7.91492                 NaN            NaN            NaN            NaN   28.2471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12101.0        1021.68        56.5248                 NaN   7.29800        7.89305                 NaN            NaN            NaN            NaN   28.2841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12201.0        1025.94        56.5173                 NaN   7.34700        7.72997                 NaN            NaN            NaN            NaN   28.4057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12301.0        1030.18        56.5277                 NaN   7.27695        7.95992                 NaN            NaN            NaN            NaN   28.2354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12401.0        1034.39        56.5305                 NaN   7.25129        8.01307                 NaN            NaN            NaN            NaN   28.2051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12501.0        1038.58        56.5176                 NaN   7.32483        7.69339                 NaN            NaN            NaN            NaN   28.4642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12601.0        1042.75        56.5213                 NaN   7.29525        7.76617                 NaN            NaN            NaN            NaN   28.4173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12701.0        1046.90        56.5206                 NaN   7.29428        7.73586                 NaN            NaN            NaN            NaN   28.4493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12801.0        1051.02        56.5188                 NaN   7.30172        7.67911                 NaN            NaN            NaN            NaN   28.5004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12901.0        1055.12        56.5181                 NaN   7.30081        7.64892                 NaN            NaN            NaN            NaN   28.5322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
