|6.6.6
mars_t13_ath_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  8001.00        825.851        33.8839                 NaN   100.000                 NaN   44.8866                 NaN            NaN            NaN   33.8839        29.4624        29.4624                 NaN   2.43604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        831.148        33.9483                 NaN   100.000                 NaN   45.2221                 NaN            NaN            NaN   33.9483        29.8979        29.8979                 NaN   2.62648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        836.418        33.9130                 NaN   100.000                 NaN   45.2347                 NaN            NaN            NaN   33.9130        29.9360        29.9360                 NaN   2.61668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        841.661        33.8045                 NaN   100.000                 NaN   44.9974                 NaN            NaN            NaN   33.8045        29.6605        29.6605                 NaN   2.45442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        846.876        33.8543                 NaN   100.000                 NaN   45.2680                 NaN            NaN            NaN   33.8543        30.0153        30.0153                 NaN   2.60684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        852.064        33.7533                 NaN   100.000                 NaN   45.0546                 NaN            NaN            NaN   33.7533        29.7667        29.7667                 NaN   2.46012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        857.224        33.7247                 NaN   100.000                 NaN   45.0989                 NaN            NaN            NaN   33.7247        29.8444        29.8444                 NaN   2.46876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        862.358        33.6978                 NaN   100.000                 NaN   45.2581                 NaN            NaN            NaN   33.6978        30.0799        30.0799                 NaN   2.53325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        867.466        33.7308                 NaN   100.000                 NaN   45.3295                 NaN            NaN            NaN   33.7308        30.1706        30.1706                 NaN   2.58156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        872.546        33.6937                 NaN   100.000                 NaN   45.3459                 NaN            NaN            NaN   33.6937        30.2138        30.2138                 NaN   2.57301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        877.600        33.7166                 NaN   100.000                 NaN   45.2757                 NaN            NaN            NaN   33.7166        30.0956        30.0956                 NaN   2.55246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        882.627        33.6118                 NaN   100.000                 NaN   45.3895                 NaN            NaN            NaN   33.6118        30.3219        30.3219                 NaN   2.55683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
